city,lat,lon
Alcala,37.8333,-2.9167
Amsterdam,52.374,5.0945
Ansbach,49.4333,10.55
Antwerp,51.2167,4.4167
Arnhem,52,5.6667
Augsburg,48.3667,10.9167
Bamberg,49.8910,10.8869
Basel,47.5072,7.5363
Beijing,50.7,22.7
Bologna,44.3999,11.3333
Brussels,50.8333,4.3333
Cambridge,52.2053,0.1195
Cologne,50.9333,6.95
Douai,50.3667,3.0167
Ferrara,44.8333,11.3333
Florence,43.7667,11.25
Frankfurt,50.1109,8.6821
Geneva,46.2044,6.1432
Genoa,44.4,8.9167
Graz,47.0707,15.4395
Hamburg,53.55,9.9999
Ingolstadt,48.6833,11.45
Kiel,54.3333,10
Leiden,52.2219,4.4233
Leipzig,51.3333,12
London,51.5,0.125
Lyon,45.75,4.8333
Lübeck,53.8659,10.6871
Madrid,40.4167,-3.7
Mainz,49.8929,8.1473
Milan,45.4667,9.1333
Naples,40.8522,14.2681
Osnabrück,52.2799,8.0472
Oxford,51.75,-1.25
Padua,45.4064,11.8768
Paris,48.8566,2.3508
Pesaro,43.7167,12.9167
Rome,41.8944,12.4833
Rotterdam,51.7225,4.47917
Rouen,49.4431,1.0993
Seville,37.3889,-5.9833
Siena,43.3333,11.3333
Strasbourg,48.5833,7.75
Urbino,43.4263,12.4360
Utrecht,52.0907,5.1214
Venice,45.4219,12.3266
Vicenza,45.5455,11.5470
Vienna,48.2083,16.375
Wittenberg,51.5,12.6667
Würzburg,49.7833,9.8667
